,0\O 
12\O ,#\O zingaatRuined\Hin=ज़िंगाट्रूईनड had\Eng to\Eng see\Eng this\Eng song\Eng thrice\Eng to\Eng find\Eng @\O TheFarahKhan\Eng magic\Eng .\O Unfortunately\Eng it's\Eng not\Eng there\Eng .\O Very\Eng poor\Eng and\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O o440sNY72R\Eng 
13\O ,\O RT\Eng @\O Yogifanclub\Eng _:\O It\Eng ’\O s\Eng like\Eng comparing\Eng Sachin\Eng Tendulkar\Eng with\Eng Ahmed\Eng Shehzad\Eng only\Eng Ahmed\Eng Shehzad\Eng (\O Dhadhak\Hin=धढ़ाक )\O will\Eng like\Eng it\Eng .\O #\O ZingaatRuined\Eng https\Eng :/…\O 
14\O ,"\O RT\Eng @\O Dil\Hin=दिल _\O ka\Hin=का _\O aitbaar\Hin=ऐतबार :\O Pic\Hin=पाइख 1-\O Zingaat\Eng from\Eng Sairaat\Hin=सैराअत् 😍\EMT 
Pic\Eng 2-\O Zingaat\Eng from\Eng Dhadak\Hin=धड़क 😒\O 
#\O ZingaatRuined\Eng 
Who\Eng agrees\Eng with\Eng me\Eng ?\O 🙋😜\O https\Eng ://\O t\Eng .\O co\Eng /\O c7ZPcSCvY5\Eng "\O 
15\O ,\O RT\Eng @\O WannabeSanyasin\Hin=वानेबेसन्यासीन :\O Just\Eng read\Eng the\Eng lyrics\Eng for\Eng Hindi\Hin=हिंदी #\O Zingaat\Hin=ज़िंगात .\O I\Eng don't\Eng know\Hin=क्नो how\Eng it\Eng will\Eng sell\Eng .\O This\Eng is\Eng insulting\Eng to\Eng legendary\Eng and\Eng struggling\Eng …\O 
16\O ,"\O Dhadak\Hin=धड़क is\Hin=इस the\Eng only\Eng scam\Eng that\Eng happened\Eng during\Eng Modi\Eng Govt\Eng .\O 😉\EMT 

#\O zingaatRuined\Eng "\O 
17\O ,"\O RT\Eng @\O PuneriSpeaks\Eng :\O करण\O जोहर\O ने\O आयुष्यात\O खूप\O चूका\O केल्या\O असतील....\O 

.\O 
.\O 
.\O 
पण\O एकंदरीतच\O सोशल\O मीडियावर\O टीका\O पाहता...\O 

#सैराट\O च्या\O नादाला\O नाही\O ला…"\O 
18\O ,"\O RT\Eng @\O Chandorkar\Hin=चंदोरकर :\O What\Hin=वाअत Karan\Hin=करन Johar\Hin=जोहर has\Eng done\Eng to\Hin=तू #\O Zingaat\Hin=ज़िंगात song\Hin=सौंग ...\O 

#\O zingaatRuined\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O Oswn1yMqHi\Hin=आस्व्M1इम्क़ी "\O 
19\O ,"\O Now\Hin=नो I\Hin=इ know\Hin=क्नो why\Hin=वी #\O Dhadak\Hin=धड़क songs\Eng are\Eng original\Eng &\O amp\Eng ;\O not\Eng a\Eng remake\Eng of\Eng their\Eng #\O Marathi\Eng counterparts\Eng 

The\Eng terrible\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O 5NZ1a9dSxB\Eng "\O 
20\O ,"\O Sir\Hin=सिअर we\Eng can\Eng not\Eng have\Eng foreign\Eng dancers\Eng in\Eng this\Eng film\Eng set\Eng in\Eng caste\Eng conflict\Eng background\Eng .\O 

Karan\Hin=करन Johar\Hin=जोहर :\O ok\Hin=अक ,\O but\Eng there\Eng can\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O Cpa1CZP8KX\Eng "\O 
21\O ,"\O Pic\Hin=पाइख 1:\O Sairaat\Hin=सैराअत् 
Pic\Hin=पाइख 2:\O Dhadak\Hin=धड़क 
#\O zingaatruined\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O Hwl9q4UyON\Hin=ह्व्ल्9क़्4उओं "\O 
22\O ,"\O RT\Eng @\O Atheist\Eng _\O Krishna\Eng :\O Pic\Eng 1:\O Zingaat\Eng from\Eng Sairat\Eng 
Pic\Eng 2:\O Zingaat\Eng from\Eng Dhadak\Hin=धड़क 
#\O ZingaatRuined\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O QJBBiUpzSa\Hin=क़्ज्ब्बीउप्ज़्सा "\O 
23\O ,#\O zingaatRuined\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O 3MHKtwZrr7\Eng 
24\O ,"\O RT\Eng @\O Gadhvilaxman\Hin=गढविलक्ष्मण :\O Marathi\Hin=मराठी vs\Hin=व hindi\Eng 

#\O zingaatRuined\Eng https\Eng ://\O t\Eng .\O co\Eng /\O q9YTudQnh9\Eng "\O 
25\O ,"\O RT\Eng @\O being\Eng _\O rajkumar\Hin=राजकुमार :\O #\O Zingaat\Hin=ज़िंगात of\Hin=ऑफ Dhadak\Hin=धड़क -\O Unnecessary\Eng Choreography\Eng 

#\O Zingaat\Hin=ज़िंगात of\Eng Sairat\Eng -\O No\Eng Choreography\Eng 

Winner\Eng #\O Zingaat\Eng of\Eng Sairat\Eng 

Aishe\Hin=एइशें h\Hin=ह …"\O 
26\O ,"\O RT\Eng @\O Being\Eng _\O Humor\Hin=हमोर :\O Just\Hin=जस्ट saw\Eng both\Eng the\Eng Zingat\Eng songs\Eng .\O Original\Eng one\Eng is\Eng so\Eng refreshing\Eng and\Eng subtle\Eng .\O @\O karanjohar\Eng has\Eng ruined\Eng the\Eng song\Eng totally\Eng .\O ☺️\O 

Dis\Hin=दिस …"\O 
27\O ,"\O RT\Eng @\O ek\Hin=इक _\O aalu\Hin=आलू _\O bonda\Eng :\O pic1\Eng ,\O 2-shows\Eng us\Eng why\Eng zingaat\Hin=ज़िंगात marathi\Hin=मराठी version\Eng was\Eng so\Eng popular\Eng with\Eng masses\Eng !\O see\Eng lady\Eng &\O amp\Eng ;\O daadi\Hin=दादी dancing\Hin=डांईसिंग to\Eng tunes\Eng of\Eng zingaat\Hin=ज़िंगात natu\Hin=नेतू …"\O 
28\O ,\O RT\Eng @\O indiantweeter\Eng :\O Marathis\Eng be\Eng like\Eng Our\Hin=आअर Zingaat\Hin=ज़िंगात is\Hin=इस our\Hin=आअर Zingaat\Hin=ज़िंगात none\Eng of\Eng your\Hin=यर Zingaat\Hin=ज़िंगात #\O ZingaatRuined\Eng 
29\O ,\O RT\Eng @\O ColdCigar\Hin=कोल्ड्सिगर :\O Zingaat\Eng reviewed\Eng 😂\O #\O ZingaatRuined\Eng https\Eng ://\O t\Eng .\O co\Eng /\O UKOx7CmkFm\Eng 
30\O ,"\O RT\Eng @\O imsingha\Hin=इमसिंगहा _\O 35\O :\O After\Eng watching\Eng #\O Zingaat\Hin=ज़िंगात in\Hin=इन Hindi\Hin=हिंदी ..\O 
Every\Eng #\O Zingaat\Eng Fan\Eng is\Eng like\Eng ..\O 

#\O zingaatRuined\Eng https\Eng ://\O t\Eng .\O co\Eng /\O xlGaT3JTMt\Eng "\O 
31\O ,\O Please\Hin=प्लीअज् tell\Hin=टेल me\Hin=मे that\Eng the\Eng people\Eng listening\Eng to\Eng the\Eng hindi\Eng version\Eng of\Eng #\O Zingaat\Hin=ज़िंगात is\Hin=इस only\Eng so\Eng that\Eng they\Eng plan\Eng to\Eng complain\Eng abo\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O 6nRrPrYFud\Hin=6न्र्र्प्रफ़ुद 
32\O ,"\O RT\Eng @\O Dishasatra\Hin=दिशासतरा :\O Karan\Hin=करन johar\Hin=जोहर -\O check\Eng out\Eng our\Eng new\Eng zingat\Eng song\Eng from\Eng movie\Eng Dhadak\Hin=धड़क 
Audience\Eng -\O 

#\O ZingaatRuined\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O 7NuKhMOzCR\Hin=7नुख़्मोज़्क् "\O 
33\O ,"\O After\Eng watching\Eng Zingaat\Eng from\Eng Dhadak\Hin=धड़क 
#\O ZingaatRuined\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O SnMuJM9WpV\Hin=स्नमुज्म्9अव्प्व "\O 
34\O ,#\O Dhadak\Hin=धड़क makers\Eng should\Eng actually\Eng consider\Eng using\Eng the\Eng original\Eng #\O Zingaat\Eng soundtrack\Eng in\Eng their\Eng movie\Eng #\O zingaatRuined\Eng 
35\O ,"\O The\Eng remake\Eng of\Eng Zhingat\Eng is\Eng not\Eng complete\Eng without\Eng Nagraj\Eng Manjule\Eng drinking\Eng daaru\Hin=डारू in\Hin=इन the\Eng background\Eng .\O 🤣\O 

#\O ZingaatRuined\Eng #\O Zingaat\Eng "\O 
36\O ,\O RT\Hin=अर्त @\O runjhunmehrotra\Hin=रुनझुनमह्रोत्र :\O Yaar\Hin=यार kam\Hin=काम se\Hin=सी kam\Hin=काम gaana\Hin=गाना toh\Hin=तोह khud\Hin=खहुद ka\Hin=का bana\Hin=बना lete\Hin=लेटे 😓😓\O Bollywood\Hin=बोलीवुड has\Eng become\Eng a\Eng big\Eng bore\Eng parody\Eng of\Eng itself\Eng .\O Time\Eng to\Eng call\Eng it\Eng Parod\Eng …\O 
37\O ,@\O Being\Eng _\O Humor\Hin=हमोर @\O karanjohar\Hin=करंजोहर #\O zingaatRuined\Eng https\Eng ://\O t\Eng .\O co\Eng /\O r9EIcmKVcy\Eng 
38\O ,"\O Amitabh\Eng Bhattacharya\Eng just\Eng ruined\Eng the\Eng originality\Eng of\Eng #\O Zingaat\Eng with\Eng his\Eng shitty\Eng lyrics\Eng 
#\O Dhadak\Hin=धड़क #\O zingaatRuined\Hin=ज़िंगाट्रूईनड @\O OfficialAMITABH\Hin=औफिशियलमिताभ @\O karanjohar\Hin=करंजोहर "\O 
39\O ,\O Why\Eng the\Eng fuck\Eng would\Eng you\Eng ruin\Eng such\Eng an\Eng amazing\Eng song\Eng #\O zingaatRuined\Eng 
40\O ,"\O Music\Eng heals\Eng you\Eng when\Eng you\Eng are\Eng hurt\Eng .\O 
But\Eng who\Eng would\Eng heal\Eng music\Eng when\Eng Music\Eng is\Eng hurt\Eng ??\O 
#\O zingaatRuined\Eng "\O 
41\O ,"\O You\Hin=यूं know\Hin=क्नो how\Hin=हो Hindi\Hin=हिंदी Zingaat\Hin=ज़िंगात sounds\Eng like\Eng ?\O 

Telugu\Eng /\O Tamil\Eng dubbed\Eng movies\Eng they\Eng show\Eng on\Eng Set\Eng Max\Eng ,\O that's\Eng how\Eng .\O 

#\O zingaatRuined\Eng "\O 
42\O ,"\O RT\Eng @_\O sinner\Eng ______:\O Me\Eng after\Eng listening\Eng to\Eng Zingaat\Hin=ज़िंगात -\O 
1-\O from\Eng Sairat\Eng 
2-\O from\Hin=फ्रोम Dhadak\Hin=धड़क .\O 
#\O ZingaatRuined\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O AbVn5kvofP\Hin=अअब्व्M5क्वोफ्प "\O 
43\O ,"\O RT\Hin=अर्त @\O NaastikHu\Hin=नास्तीखू :\O Ab\Hin=अब toh\Hin=तोह vo\Hin=वो log\Hin=लाग bhi\Hin=भही #\O Zingaat\Hin=ज़िंगात ko\Hin=को bekaar\Hin=बेकार bolenge\Hin=बोलेंगे jinhone\Hin=जिन्होन marathi\Hin=मराठी version\Hin=बरसन kabhi\Hin=कभी suna\Hin=सुना hee\Hin=ही nahi\Hin=नाही 
#\O Zingaat\Eng #\O ZingaatRuined\Eng "\O 
44\O ,\O RT\Hin=अर्त @\O firkiii\Hin=फ़िर्की :\O 3700\O dislikes\Eng so\Eng far\Eng while\Eng moron\Eng teenagers\Eng &\O amp\Eng ;\O kjo's\Eng team\Eng liking\Eng the\Eng hindi\Eng zingaat\Eng .\O come\Eng on\Hin=ओं guys\Eng dislike\Eng as\Eng much\Eng as\Eng you\Eng can\Eng 🙏🙏🙏🙏…\O 
45\O ,"\O RT\Eng @\O ViratsFangirl18\Eng :\O Remaking\Eng of\Eng songs\Eng should\Eng be\Eng banned\Eng ,\O literally\Eng .\O 
Ajay\Hin=अजय Atul\Eng had\Eng taken\Eng the\Eng centre\Eng when\Eng they\Eng sang\Hin=संग Zingaat\Hin=ज़िंगात (\O Marathi\Hin=मराठी version\Hin=बरसन …"\O 
46\O ,\O RT\Eng @\O realpk333\Eng :\O @\O karanjohar\Hin=करंजोहर Hutiye\Hin=हुटिय ..\O Is\Hin=इस song\Hin=सौंग me\Eng rehearsal\Eng ki\Hin=की zarurat\Hin=ज़रूरत hi\Hin=ही nhi\Hin=न्ही thi\Hin=ती ..\O #\O ZingaatRuined\Hin=ज़िंगाट्रूईनड #\O Zingaat\Eng 😡😡😡\O 
47\O ,"\O RT\Hin=अर्त @\O SHUBH\Hin=शुभ _\O AD\Hin=आद :\O #\O Sairat\Eng vs\Eng #\O Dhadak\Hin=धड़क 
#\O zingaatRuined\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O Qmgef7oYMP\Hin=क़्मगिफ्7ओइम्प "\O 
48\O ,"\O RT\Hin=अर्त @\O AMIT\Hin=अमिट _\O GUJJU\Hin=गुज्जू :\O Kannada\Hin=कन्नदा Zingat\Hin=ज़िंगत is\Eng also\Eng 100\O times\Eng better\Eng than\Eng hindi\Hin=हिंदी Zingat\Hin=ज़िंगत 
#\O zingaatRuined\Eng 
https\Eng ://\O t\Eng .\O co\Eng /\O 8VPxXYm7Qb\Eng "\O 
49\O ,"\O RT\Eng @\O imranyh\Eng :\O Zingat\Eng original\Eng 
Vs\Eng 
Zingat\Eng remake\Eng 
@\O karanjohar\Hin=करंजोहर 
#\O ZingaatRuined\Eng https\Eng ://\O t\Eng .\O co\Eng /\O SCn7F3nNgK\Eng "\O 
50\O ,"\O RT\Eng @\O engineerdhir\Eng :\O Pic1\Eng -\O Zingaat\Hin=ज़िंगात Marathi\Hin=मराठी 
Pic2\Eng -\O Zingaat\Hin=ज़िंगात Hindi\Hin=हिंदी 

#\O ZingaatRuined\Eng https\Eng ://\O t\Eng .\O co\Eng /\O os8DAubGRP\Eng "\O 
51\O ,\O RT\Eng @\O kamles\Hin=कम्लस _\O soluchan\Eng :\O When\Hin=वेन mom\Eng found\Eng her\Eng son\Eng listening\Eng to\Eng hindi\Eng version\Eng of\Eng zingaat\Eng #\O ZingaatRuined\Eng https\Eng ://\O t\Eng .\O co\Eng /\O HCCv9OsR6l\Eng 
52\O ,"\O RT\Eng @\O ladywithflaws\Eng :\O Zingaat\Eng original\Eng .\O 
Vs\Eng 
Zingaat\Hin=ज़िंगात remake\Eng .\O #\O zingaatRuined\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O khhppZsbOg\Hin=ख्प्प्ज़्स्बोग "\O 
53\O ,\O RT\Eng @\O ladywithflaws\Eng :\O Karan\Eng johar's\Eng movies\Eng .\O #\O zingaatRuined\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O VisjjIJHx6\Hin=विस्ज्यीझ्क्स्6 
54\O ,\O Missing\Eng heartfelt\Eng touch\Eng and\Eng energy\Eng in\Eng the\Eng remake\Eng #\O Zingaat\Eng #\O zingaatRuined\Eng 
55\O ,"@\O karanjohar\Hin=करंजोहर right\Hin=राइघ्ट now\Eng 
#\O Zingaat\Hin=ज़िंगात #\O Dhadak\Hin=धड़क #\O zingaatRuined\Eng #\O Sairat\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O LMLIJWFZxn\Eng "\O 
56\O ,\O Dhadak\Hin=धड़क song\Eng Zingaat\Hin=ज़िंगात :\O Hindi\Eng version\Eng of\Eng Marathi\Eng song\Eng disappoints\Eng fans\Eng ;\O Tweeple\Eng say\Eng #\O ZingaatRuined\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O 6H4sc1hj3f\Eng 
57\O ,"\O RT\Hin=अर्त @\O katamulgi\Hin=कातमुलगी :\O Pic\Hin=पाइख 1:\O Zingaat\Eng from\Eng Sairat\Eng 
Pic\Eng 2:\O Zingaat\Eng from\Eng Dhadak\Hin=धड़क 
#\O ZingaatRuined\Eng https\Eng ://\O t\Eng .\O co\Eng /\O s6YdyhSTfw\Eng "\O 
58\O ,\O RT\Hin=अर्त @\O khushbupandya2\Hin=खुश्बुपांड्य2 :\O #\O Zingaat\Hin=ज़िंगात in\Hin=इन Sairat\Hin=सैरत v\Eng /\O s\Eng #\O Zingaat\Hin=ज़िंगात in\Hin=इन #\O Dhadak\Hin=धड़क #\O zingaatRuined\Eng https\Eng ://\O t\Eng .\O co\Eng /\O 2NAE6NUGmF\Eng 
59\O ,"\O Loved\Eng the\Eng #\O Zingaat\Eng Number\Eng from\Eng @\O dhadak\Hin=धड़क .\O Then\Eng heard\Eng the\Eng original\Eng from\Eng #\O SAIRAT\Hin=सैरत .\O No\Hin=नो ,\O no\Hin=नो ,\O no\Hin=नो ...\O No\Eng comparison\Eng .\O The\Eng raw\Eng ,…\O https\Eng ://\O t\Eng .\O co\Hin=को /\O ELlskZUcXb\Hin=एल्स्क्ज़ुच्क्स्ब "\O 
60\O ,"\O RT\Eng @\O sagarcasm\Eng :\O 1.\O #\O Zingaat\Eng from\Eng Sairat\Eng 
2.\O #\O Zingaat\Eng from\Eng Dhadak\Hin=धड़क 

#\O zingaatRuined\Eng https\Eng ://\O t\Eng .\O co\Eng /\O z4bwRin1Co\Eng "\O 
61\O ,\O I\Eng don't\Eng understand\Eng the\Eng lyrics\Eng in\Eng Marathi\Eng still\Eng it\Eng was\Eng smoothing\Eng but\Eng in\Eng Hindi\Hin=हिंदी this\Eng is\Eng probably\Eng the\Eng worst\Eng we\Eng have\Eng seen\Eng .#\O zingaatRuined\Eng 
62\O ,"\O RT\Eng @\O sarcasticbuddy\Eng :\O When\Eng someone\Eng says\Eng ""\O #\O Zingaat\Eng from\Eng Dhadak\Hin=धड़क is\Hin=इस not\Eng really\Eng that\Eng bad\Eng ""\O 
#\O zingaatRuined\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O vXfPqylVyj\Hin=व्क्स्फ्प्क़ाइल्व्य्ज "\O 
