,0\O 
21\O ,@\O bookmyshow\Eng @\O foxstarhindi\Eng Wanna\Eng meet\Hin=मीत Sanju\Hin=संजू Bhai\Hin=भाई bole\Hin=बोलें to\Hin=तू ekdum\Hin=एक्दम rapchik\Hin=रप्चिक #\O SanjuOnBMS\Eng https\Eng ://\O t\Eng .\O co\Eng /\O 9OmxqFgs6o\Eng 
22\O ,"@\O bookmyshow\Eng @\O foxstarhindi\Eng Aaila\Hin=आइला ..\O ""\O Meet\Hin=मीत n\Hin=न Greet\Eng ""\O 
Bole\Hin=बोलें toh\Hin=तोह Ranbir\Hin=रणवीर Bhai\Hin=भाई ko\Hin=को apna\Hin=अप्ना bohot\Hin=बोहोत saara\Hin=सारा pyaar\Hin=प्यार aur\Hin=अर् full\Hin=फुल too\Hin=तोओ badi\Hin=बड़ी w\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O M8IcmjDARE\Hin=म्8इक्म्जदरे "\O 
23\O ,"\O RT\Eng @\O bookmyshow\Eng :\O Well\Eng played\Eng ,\O everyone\Eng !\O @\O yash\Eng _\O gosalia\Eng and\Eng @\O Mr\Eng _\O GauravMehta\Eng ,\O kindly\Eng DM\Eng us\Eng your\Hin=यर full\Eng name\Eng ,\O phone\Eng number\Eng ,\O email\Eng ID\Hin=ईद and\Eng age\Eng .\O We\Eng s\Eng …"\O 
24\O ,"@\O bookmyshow\Eng @\O foxstarhindi\Eng #\O SanjuOnBMS\Eng #\O ContestAlert\Eng #\O Contest\Eng #\O Mumbai\Eng 
Apun\Hin=अपुँ Wishing\Eng you\Eng a\Eng very\Eng All\Eng the\Eng best\Eng for\Eng the\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O JIMjHKbpxP\Hin=जिमझ्क्ब्प्क्स्प "\O 
25\O ,"\O RT\Eng @\O pratikspande\Eng :\O @\O bookmyshow\Eng @\O foxstarhindi\Eng Ranbir\Eng Bhai\Hin=भाई ke\Hin=क #\O Sanju\Hin=संजू ka\Hin=का trailer\Hin=ट्रेलर dekha\Hin=देखा ..\O Ekdum\Hin=एक्दम Faadu\Hin=फ़ादु trailer\Hin=ट्रेलर hai\Hin=हैं .\O 
Bole\Hin=बोलें toh\Hin=तोह ekdum\Hin=एक्दम Jhakaasss\Hin=झकास ..\O Ek\Hin=इक …"\O 
26\O ,\O RT\Eng @\O Shrutikoorichh1\Eng :\O @\O bookmyshow\Eng @\O foxstarhindi\Eng My\Eng love\Hin=लव for\Eng #\O RanbirKapoor\Hin=रणविर्कपूर #\O Sanju\Eng #\O SanjuOnBMS\Eng #\O ContestAlert\Eng #\O Contest\Eng #\O Mumbai\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O R\Hin=र …\O 
27\O ,"@\O bookmyshow\Eng @\O foxstarhindi\Eng #\O RanbirKapoor\Hin=रणविर्कपूर Bhai\Hin=भाई bole\Hin=बोलें toh\Hin=तोह tumne\Hin=तुमने #\O Sanju\Hin=संजू me\Hin=मे Jo\Hin=ज Acting\Hin=एक्तिंग kiyela\Hin=कियेला hai\Hin=हैं na\Hin=ना bole\Hin=बोलें toh\Hin=तोह mast\Hin=मस्त ,\O Aapko\Hin=आपको m\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O jwGp23kxMS\Eng "\O 
28\O ,"\O RT\Eng @\O coolguy\Eng _\O jas\Eng :\O @\O bookmyshow\Eng @\O foxstarhindi\Eng Aye\Hin=आये Circuit\Hin=सर्किट aapne\Hin=आपने ko\Hin=को excitement\Eng #\O Sanju\Eng movie\Hin=मूवी ka\Hin=का bohat\Hin=बोहत hai\Hin=हैं yaar\Hin=यार !\O ""\O Bole\Hin=बोलें toh\Hin=तोह ""\O Can't\Hin=कैं'ट wait\Eng 🙈.\O #\O Ranbir\Eng …"\O 
29\O ,@\O bookmyshow\Eng @\O foxstarhindi\Eng My\Eng love\Hin=लव for\Eng #\O RanbirKapoor\Hin=रणविर्कपूर #\O Sanju\Eng #\O SanjuOnBMS\Eng #\O ContestAlert\Eng #\O Contest\Eng #\O Mumbai\Eng https\Eng ://\O t\Eng .\O co\Eng /\O xKaCFZDSzk\Eng 
30\O ,"@\O bookmyshow\Eng @\O foxstarhindi\Eng 29th\Eng June\Eng bole\Hin=बोलें to\Hin=तू Rastriya\Hin=रस्त्रिया Sanju\Hin=संजू Day\Hin=दय 

#\O SanjuOnBMS\Eng "\O 
31\O ,@\O bookmyshow\Eng @\O foxstarhindi\Eng Join\Eng in\Eng For\Eng #\O SanjuOnBMS\Eng @\O kashyaphirpara1\Eng @\O KiranDobariya8\Eng @\O parinshah79\Eng @\O Its\Eng _\O Bhagyashree\Hin=भाग्याशरी 
32\O ,"\O RT\Eng @\O coolpritish98\Eng :\O @\O bookmyshow\Eng @\O foxstarhindi\Eng Ae\Eng Circuit\Hin=सर्किट ,\O Itna\Hin=इत्ना Variety\Eng ek\Eng aadmi\Hin=आदमी me\Hin=मे kese\Hin=केसे ho\Hin=ह sakta\Hin=सकता he\Hin=ही 
Bhidu\Hin=भिद़ू mere\Hin=मेर ko\Hin=को dekhana\Hin=देखना he\Hin=ही #\O Sanju\Hin=संजू ko\Hin=को ,\O cha\Hin=चा …"\O 
33\O ,"#\O RanbirKapoor\Hin=रणविर्कपूर ने\O रखी\O @\O duttsanjay\Hin=दत्ट्संजय के\O परिवार\O के\O लिए\O #\O Sanju\Hin=संजू की\O प्राइवेट\O स्क्रीनिंग\O 
@\O RajkumarHirani\Hin=राजकुमढ़िरनी …\O https\Eng ://\O t\Eng .\O co\Eng /\O IqW0SIDnYx\Eng "\O 
34\O ,\O RT\Eng @\O MumbaiSmarty\Eng :\O @\O bookmyshow\Eng @\O foxstarhindi\Eng Join\Eng in\Eng For\Eng #\O SanjuOnBMS\Eng @\O kashyaphirpara1\Eng @\O KiranDobariya8\Eng @\O parinshah79\Eng @\O Its\Eng _\O Bhagyashree\Hin=भाग्याशरी 
35\O ,"@\O bookmyshow\Eng @\O foxstarhindi\Eng Aye\Hin=आये Circuit\Hin=सर्किट aapne\Hin=आपने ko\Hin=को excitement\Eng #\O Sanju\Eng movie\Hin=मूवी ka\Hin=का bohat\Hin=बोहत hai\Hin=हैं yaar\Hin=यार !\O ""\O Bole\Hin=बोलें toh\Hin=तोह ""\O Can't\Hin=कैं'ट wait\Eng 🙈.…\O https\Eng ://\O t\Eng .\O co\Hin=को /\O pVwjyjGcot\Hin=प्व्व्ज्य्ज्ग्कोट "\O 
36\O ,"@\O bookmyshow\Eng @\O foxstarhindi\Eng Aye\Hin=आये Mamu\Hin=मामू Ranbir\Hin=रणवीर ne\Hin=ने Kya\Hin=क्या Fadu\Hin=फ़दू Acting\Hin=एक्तिंग kareli\Hin=करेली he\Hin=ही ,\O public\Eng ko\Hin=को mangta\Hin=मंगता ENTERTAINMENT\Hin=एंटेअरट्नमेंट ,\O aur\Hin=अर् Apne\Hin=अपने ko\Hin=को …\O https\Eng ://\O t\Eng .\O co\Eng /\O DG5LlXPBHi\Eng "\O 
37\O ,"\O RT\Eng @\O faizan\Hin=फिजन _\O mans\Eng :\O @\O bookmyshow\Eng @\O foxstarhindi\Eng 29th\Eng June\Eng bole\Hin=बोलें to\Hin=तू Rastriya\Hin=रस्त्रिया Sanju\Hin=संजू Day\Hin=दय 

#\O SanjuOnBMS\Eng "\O 
38\O ,"@\O bookmyshow\Eng @\O foxstarhindi\Eng Ranbir\Eng Bhai\Hin=भाई ke\Hin=क #\O Sanju\Hin=संजू ka\Hin=का trailer\Hin=ट्रेलर dekha\Hin=देखा ..\O Ekdum\Hin=एक्दम Faadu\Hin=फ़ादु trailer\Hin=ट्रेलर hai\Hin=हैं .\O 
Bole\Hin=बोलें toh\Hin=तोह ekdum\Hin=एक्दम Jhakaass\Hin=झकास …\O https\Eng ://\O t\Eng .\O co\Eng /\O NxJ6WxKFop\Eng "\O 
39\O ,@\O bookmyshow\Eng @\O foxstarhindi\Eng #\O SanjuOnBMS\Eng beta\Hin=बेटा ye\Hin=ये picture\Hin=पिक्चर super\Eng hit\Hin=हीत hoga\Hin=होग dekhna\Hin=देख्ना mamu\Hin=मामू 
40\O ,@\O bookmyshow\Eng @\O foxstarhindi\Eng #\O RanbirKapoor\Hin=रणविर्कपूर Bhai\Hin=भाई bole\Hin=बोलें toh\Hin=तोह tumne\Hin=तुमने #\O Sanju\Hin=संजू me\Hin=मे Jo\Hin=ज Acting\Hin=एक्तिंग kiyela\Hin=कियेला hai\Hin=हैं na\Hin=ना bole\Hin=बोलें toh\Hin=तोह kadak\Hin=कड़क bacchi\Hin=बच्ची …\O https\Eng ://\O t\Eng .\O co\Eng /\O 5w05TqaVi4\Eng 
41\O ,"@\O bookmyshow\Eng @\O foxstarhindi\Eng Ae\Eng Circuit\Hin=सर्किट ,\O Itna\Hin=इत्ना Variety\Eng ek\Eng aadmi\Hin=आदमी me\Hin=मे kese\Hin=केसे ho\Hin=ह sakta\Hin=सकता he\Hin=ही 
Bhidu\Hin=भिद़ू mere\Hin=मेर ko\Hin=को dekhana\Hin=देखना he\Hin=ही #\O Sanju\Hin=संजू ko\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O HrfvlmoVVs\Hin=ह्र्फ्व्ल्मूव्व "\O 
42\O ,\O RT\Eng @\O faizan\Hin=फिजन _\O mans\Eng :\O @\O bookmyshow\Eng @\O foxstarhindi\Eng Dekh\Hin=देख re\Hin=री meri\Hin=मेरी taraf\Hin=तरफ़ apun\Hin=अपुँ ki\Hin=की taraf\Hin=तरफ़ se\Hin=सी ekdum\Hin=एक्दम jhakkas\Hin=झक्कस wala\Hin=वाला all\Hin=अऔल dha\Eng very\Eng bhest\Eng #\O SanjuOnBMS\Eng 
43\O ,"@\O bookmyshow\Eng @\O foxstarhindi\Eng Apun\Hin=अपुँ ne\Hin=ने #\O Sanju\Hin=संजू ka\Hin=का trailer\Hin=ट्रेलर dekha\Hin=देखा .\O Bole\Hin=बोलें toh\Hin=तोह ekdum\Hin=एक्दम ""\O Paani\Hin=पानी Cum\Hin=कम Chai\Hin=चाई ""\O ke\Hin=क maafik\Hin=माफ़िक laga\Hin=लग apne\Hin=अपने ko\Hin=को .…\O https\Eng ://\O t\Eng .\O co\Hin=को /\O UDmqbkfdkI\Hin=उड्म्क़्ब्क्फ्ड़की "\O 
44\O ,"\O RT\Eng @\O bookmyshow\Eng :\O Mumbaikars\Eng ,\O are\Hin=अरे you\Hin=यूं ready\Hin=रेडी for\Eng a\Eng fun\Eng time\Eng this\Eng afternoon\Eng ?\O Watch\Eng this\Eng space\Eng for\Eng the\Eng super-exciting\Eng #\O SanjuOnBMS\Eng contest\Eng .\O #\O Cont\Eng …"\O 
